de_rhasspy-0004|Sie ist nach der Kreisstadt Weißenburg des Landkreises Weißenburg-Gunzenhausen benannt.
de_rhasspy-0007|Ursprünglich wurde Bellflower und das benachbarte Paramount von niederländischen, japanischen und portugiesischen Milchbauern bewohnt.
de_rhasspy-0008|Nun verfolgten die Helvetier die Römer und begannen, die Nachhut der Römer anzugreifen.
de_rhasspy-0010|Auch diesmal behaupten die Behörden, sie wüssten nichts von der Existenz solcher Dateien.
de_rhasspy-0011|Er galt als hervorragender Interpret der Werke Anton Bruckners und Pjotr Iljitsch Tschaikowskis.
de_rhasspy-0012|Es gibt verschiedene Arten von Head-Mounted Displays, die je nach Verwendungszweck unterschiedlich ausgestattet sind.
de_rhasspy-0013|Er bildet zugleich eine Pfarrgemeinde des Dekanats Ernen.
de_rhasspy-0014|Zu China hat die Kommission noch keine Ergebnisse zusammengetragen.
de_rhasspy-0015|Seine Tochter Johanna war verheiratet mit dem Frankfurter Stadtbaumeister Johann Friedrich Christian Hess.
de_rhasspy-0016|Ich danke ihm nochmals für seine Arbeit.
de_rhasspy-0018|Durch schlechtes Wetter am vorgesehenen Landeort wurde die Rückkehr mehrfach verschoben.
de_rhasspy-0019|Entsprechend bewertet die Denkmalbehörde die Liebfrauenkirche als architektonisch und künstlerisch herausragendes Bauwerk.
de_rhasspy-0020|Da zwei Personen auf gleich viele Erwähnungen kamen, musste die Entscheidung per Losverfahren erfolgen.
de_rhasspy-0021|Sie prämiert innovative deutsch-türkische Projekte zur Verbesserung des Zusammenlebens in der Hansestadt.
de_rhasspy-0022|Nach dem Abschluss einer Uhrmacherlehre wanderte Joseph Moll durch verschiedene europäische Staaten.
de_rhasspy-0024|Ich danke und gratuliere ihm zu dieser ausgezeichneten Arbeit.
de_rhasspy-0027|Ich halte es für ein positives Zeichen, dass der Gipfel in Khanty-Mansiysk stattfindet.
de_rhasspy-0028|Die Zucht wird heute in Russland weitergeführt.
de_rhasspy-0030|Bei Oetinger wurde das Gesamtwerk von Astrid Lindgren in Deutschland verlegt.
de_rhasspy-0033|Zwei Tage später verließ auch Brito Camacho die Demokraten und gründete die Unionistische Partei.
de_rhasspy-0036|Die auf der Seite des Kaisers kämpfenden Schwanberger eroberten kurz darauf den Berg.
de_rhasspy-0038|In der Literaturgeschichte bilden August Strindbergs Beziehungen zu Österreich einen seiner Schwerpunkte.
de_rhasspy-0041|An diesem gilt es sich zu orientieren.
de_rhasspy-0042|Mittlerweile gibt es für praktisch jede Sportart mehrere entsprechende Computerspiel-Pendants.
de_rhasspy-0043|Damit stellten die Dream bereits in ihrer zweiten Saison einen äußerst hochwertigen Kader.
de_rhasspy-0045|Außerdem wurden die fünf besten Leistungen im Siebenkampf überhaupt von ihr erzielt.
de_rhasspy-0047|Er wurde in der Nähe der Hauptstadt Libreville geboren und früh ein Waisenkind.
de_rhasspy-0048|Bedeutsam ist das Vorkommen des seltenen Sumpf-Johanniskrauts.
de_rhasspy-0049|Paul Dessaus Cousin Max Winterfeld wurde unter dem Namen Jean Gilbert als Operettenkomponist bekannt.
de_rhasspy-0054|Das Verbreitungsgebiet erstreckt sich vom südwestlichen Nordamerika über Zentralamerika bis Südamerika.
de_rhasspy-0055|Wieder ging es um die Europameisterschaft, wieder siegte Loi nach Punkten.
de_rhasspy-0060|Sie lag an der saarländisch-pfälzischen Grenze.
de_rhasspy-0062|Er emigrierte nach Österreich und später ins Deutsche Reich.
de_rhasspy-0063|Sie spielten sowohl alte Lieder von Spliff neu ein als auch eigene Stücke.
de_rhasspy-0064|Nach zwei Runden war der Kampf relativ ausgeglichen.
de_rhasspy-0066|Danach ist eine Versetzung nur zu einer anderen Dienststelle desselben Arbeitgebers zulässig.
de_rhasspy-0068|In den folgenden dreißig Jahren nutzte nur die Allgemeine Luftfahrt den Riviera Airport.
de_rhasspy-0070|Auch die Hauptrolle in Frau ohne Gewissen lehnte Raft ab.
de_rhasspy-0071|In der Geschichte der finnischen Präsidentschaftswahlen gab es einige Abweichungen vom eigentlichen Prozedere.
de_rhasspy-0072|Die dortigen Schwestern betreuten den Kindergarten, betrieben die ambulante Krankenpflege sowie eine Nähschule.
de_rhasspy-0073|In Purkersdorf gibt es mehrere praktische Ärzte, Fachärzte sowie zwei Apotheken.
de_rhasspy-0074|Sie blieb am Broadway und schaffte nie den Sprung nach Hollywood.
de_rhasspy-0075|Schon in der Weimarer Republik begann Fendt, sich politisch zu engagieren.
de_rhasspy-0076|Renko liegt am Ochsenweg, dem historischen Handelsweg von Turku nach Häme.
de_rhasspy-0078|Außerorts befinden sich auf den Gemüseanbau spezialisierte Landwirtschaftsbetriebe.
de_rhasspy-0079|Zu diesem wichtigen Punkt haben Sie sich eben nur sehr vage geäußert, Herr Kommissar.
de_rhasspy-0081|Sie haben oft sehr poetischen Charakter.
de_rhasspy-0083|Die Mannschaft rutschte vom ohnehin enttäuschenden achten Platz auf Rang zehn.
de_rhasspy-0084|Damit avancierte Tschechisch in beiden Kronländern von einer Minderheitensprache zur Nationalsprache.
de_rhasspy-0088|Anschließend fährt er zum Restaurant, holt die Waren ab und liefert diese an.
de_rhasspy-0089|Sie kauften in der Region Sandelholz, Sklaven, Honig und Bienenwachs.
de_rhasspy-0091|Ihr erstes Engagement hatte sie am Theater am Kurfürstendamm.
de_rhasspy-0093|Auch mit Libyen und der Volksrepublik China treibt Malta bevorzugt Handel.
de_rhasspy-0094|Als Maß für die vergleichbare Wasseraufnahme gibt es den sogenannten Cobb-Wert.
de_rhasspy-0100|In der Vorsaison hatten zwei Teams bereits während der Saison den Spielbetrieb eingestellt.
de_rhasspy-0101|Ludwig übernahm die neuen Besitztümer und bildete daraus die kurzlebige Grafschaft zu Stolberg-Königstein.
de_rhasspy-0103|Wichtig ist natürlich, dass wir unsere Standpunkte trotz bestehender Differenzen einander annähern.
de_rhasspy-0104|Die Godula-Schichten wurden sowohl auf polnischer als auch auf tschechischer Seite ausführlich untersucht.
de_rhasspy-0105|Die Nachricht über seine Festnahme führte zu spontanen Straßenfesten in Freetown.
de_rhasspy-0106|Auch die Volleyball-Weltliga fand bisher ohne thailändische Beteiligung statt.
de_rhasspy-0113|Zunächst im romanischen Stil gebaut, erhielt sie nachträglich ein barockes Gewölbe.
de_rhasspy-0115|Seine Markenzeichen waren sein Schlapphut und sein Schnauzer.
de_rhasspy-0116|Bekannt wurde von Hesse-Wartegg vor allem als Reiseschriftsteller.
de_rhasspy-0117|Und das ist gegenüber einem Staatschef weder korrekt noch ehrenhaft.
de_rhasspy-0119|Das anschließende Engagement beim damaligen griechischen Zweitligisten Apollon Patras endete bereits nach sieben Monaten.
de_rhasspy-0120|Über die Gründe der unstandesgemäßen Hochzeit wird noch mehr gerätselt.
de_rhasspy-0123|Ich hoffe nur, dass die Mitgliedstaaten diese Regelung nun auch besser durchsetzen werden.
de_rhasspy-0124|Der Park liegt direkt neben der Bärenhöhle, einer der bekanntesten Schauhöhlen Deutschlands.
de_rhasspy-0127|Ein Ausflug zu Pferde wird als Ausritt bezeichnet.
de_rhasspy-0129|Frau Kommissionspräsidentin!
de_rhasspy-0130|In der Ukraine wird dieses Stück zum orthodoxen Neujahrsfest gesungen.
de_rhasspy-0135|Mich stört nur die Protokollnotiz für die Tschechische Republik.
de_rhasspy-0136|Der erste Angriff der Union wurde unter Aufbietung der letzten Reserven Jacksons gestoppt.
de_rhasspy-0137|Die Stadt liegt auf der Delmarva-Halbinsel.
de_rhasspy-0138|Deshalb wollte ich Ihnen Zeit zum Nachdenken geben.
de_rhasspy-0140|Pinocchio ist jetzt ein normaler Junge.
de_rhasspy-0141|Er spielte mit Legenden wie Muddy Waters, Howlin’ Wolf und John Lee Hooker.
de_rhasspy-0142|Mittlerweile hat er sich dem Skydance-Acro-Team angeschlossen.
de_rhasspy-0143|Die restliche Zeit saß er im Gefängnis von Oakland County ab.
de_rhasspy-0145|Der Samen keimt verzögert-epigäisch.
de_rhasspy-0146|Im Team-Wettkampf belegte sie mit Isabell Ost und Stephanie Beckert ebenfalls Platz drei.
de_rhasspy-0147|Frau McGuinness sagte, die Modulation sei ein Diebstahl an den Landwirten.
